Data Point,Latitude,Longitude,Altitude,RSRP,RF Channel Power,RSSI,SINR,RSRQ,OSTP,Text,Voice,Video
1,39.61881667,-107.0171033,2374.7,,,,,,,,,
2,39.61879167,-107.0171417,2374.6,,,,,,,,,
3,39.61884667,-107.0173317,2376.6,,,,,,,,,
4,39.61885833,-107.01753,2379.2,,,,,,,,,
5,39.61889167,-107.01767,2383.1,,,,,,,,,
6,39.618945,-107.0178133,2385.8,,,,,,,,,
7,39.61899167,-107.017985,2390.8,,,,,,,,,
8,39.619055,-107.0180967,2395.6,,,,,,,,,
9,39.61913667,-107.0182233,2399,,,,,,,,,
10,39.61920667,-107.0183317,2402.3,,,,,,,,,
11,39.619255,-107.0184583,2405.4,,,,,,,,,
12,39.61927833,-107.0185383,2403.4,,,,,,,,,
13,39.619345,-107.0186617,2402.3,,,,,,,,,
14,39.61939333,-107.0188033,2402.3,,,,,,,,,
15,39.619435,-107.0190067,2403.2,,,,,,,,,
16,39.61939,-107.0191617,2404.3,,,,,,,,,
17,39.61938167,-107.019355,2404.1,,,,,,,,,
18,39.61937333,-107.01956,2405,,,,,,,,,
19,39.61935333,-107.0197067,2405.4,,,,,,,,,
20,39.61937667,-107.0198683,2406.9,,,,,,,,,
21,39.61930167,-107.0199967,2407.8,,,,,,,,,
22,39.61928,-107.0201017,2408.3,,,,,,,,,
23,39.61929,-107.0202667,2408.3,,,,,,,,,
24,39.61925167,-107.0204167,2408.4,,,,,,,,,
25,39.619185,-107.0205683,2407.8,,,,,,,,,
26,39.61913333,-107.0207383,2406.9,,,,,,,,,
27,39.61906667,-107.0209567,2406.4,,,,,,,,,
28,39.61901833,-107.021095,2405.4,,,,,,,,,
29,39.61892667,-107.02124,2404.8,,,,,,,,,
30,39.61886333,-107.0214183,2404.3,,,,,,,,,
31,39.61877667,-107.021585,2404.4,,,,,,,,,
32,39.61867833,-107.021725,2404.2,,,,,,,,,
33,39.61851667,-107.0218317,2404.4,,,,,,,,,
34,39.618445,-107.0219617,2406.6,,,,,,,,,
35,39.61839,-107.0220883,2409.1,,,,,,,,,
36,39.61829667,-107.022205,2411.5,,,,,,,,,
37,39.6182,-107.0223817,2411.8,,,,,,,,,
38,39.61803333,-107.0224433,2414.6,,,,,,,,,
39,39.61791167,-107.0225533,2419.6,,,,,,,,,
