FID,Data_Point,Latitude,Longitude,Altitude,RSRP,RF_Channel,RSSI,SINR,RSRQ,OSTP,Text,Voice,Video
462,463,39.69243667,-106.9529067,2195.7,-150.0650330, , , , , ,No,No,No
461,462,39.69238333,-106.952765,2195.7,-149.8209229, , , , , ,No,No,No
463,464,39.69250833,-106.9530333,2195,-149.3980560, , , , , ,No,No,No
464,465,39.692585,-106.9531633,2193.7,-148.7395325, , , , , ,No,No,No
703,704,39.691295,-106.9392333,2260.7,-148.3889618, , , , , ,No,No,No
460,461,39.69234167,-106.9525933,2196,-148.3512878, , , , , ,No,No,No
465,466,39.69267167,-106.953285,2192.3,-147.8338776, , , , , ,No,No,No
459,460,39.69229333,-106.952455,2196.4,-147.2025146, , , , , ,No,No,No
466,467,39.692755,-106.9533883,2190.8,-147.1113739, , , , , ,No,No,No
702,703,39.69134667,-106.9393033,2260.8,-146.9597015, , , , , ,No,No,No
467,468,39.69285667,-106.9535067,2189.4,-146.0864258, , , , , ,No,No,No
458,459,39.69225667,-106.9523133,2196.2,-146.0280151, , , , , ,No,No,No
704,705,39.69123,-106.93917,2261.1,-146.0185547, , , , , ,No,No,No
468,469,39.692955,-106.95358,2188.6,-145.3768463, , , , , ,No,No,No
469,470,39.69303833,-106.9536067,2189.2,-145.1606445, , , , , ,No,No,No
470,471,39.69313167,-106.9536333,2190.1,-145.0400238, , , , , ,No,No,No
471,472,39.69322167,-106.9536483,2190.9,-144.8355560, , , , , ,No,No,No
472,473,39.69330667,-106.9536367,2192,-144.4975739, , , , , ,No,No,No
457,458,39.69222167,-106.952135,2196.3,-144.4877930, , , , , ,No,No,No
473,474,39.69338667,-106.95362,2192.8,-143.9723816, , , , , ,No,No,No
456,457,39.692185,-106.9519917,2196.5,-143.4410248, , , , , ,No,No,No
474,475,39.69348833,-106.9536067,2193.8,-143.3489990, , , , , ,No,No,No
445,446,39.691785,-106.9503533,2198.3,-143.2398529, , , , , ,No,No,No
455,456,39.69215167,-106.9518467,2196.4,-142.7460632, , , , , ,No,No,No
475,476,39.69356833,-106.9535733,2194.3,-142.6952209, , , , , ,No,No,No
444,445,39.69175,-106.9502167,2197,-142.6834869, , , , , ,No,No,No
446,447,39.69183,-106.9505067,2199.4,-142.5730438, , , , , ,No,No,No
427,428,39.69054333,-106.9491733,2196.8,-142.0282745, , , , , ,No,No,No
484,485,39.69394667,-106.952985,2204.1,-141.9918976, , , , , ,No,No,No
400,401,39.69056,-106.949225,2192.2,-141.9702759, , , , , ,No,No,No
443,444,39.69170333,-106.9500767,2196.3,-141.8845367, , , , , ,No,No,No
447,448,39.69187333,-106.950635,2199.5,-141.8610077, , , , , ,No,No,No
454,455,39.69212333,-106.9516683,2196.6,-141.8524933, , , , , ,No,No,No
476,477,39.69363667,-106.9534983,2195.9,-141.8060150, , , , , ,No,No,No
426,427,39.69051167,-106.9492933,2195.6,-141.7586212, , , , , ,No,No,No
535,536,39.69218833,-106.9500967,2209.5,-141.7165222, , , , , ,No,No,No
401,402,39.69053167,-106.9492983,2192,-141.7068481, , , , , ,No,No,No
399,400,39.69059333,-106.9491167,2192.7,-141.7004852, , , , , ,No,No,No
536,537,39.692125,-106.9500983,2207.9,-141.5862427, , , , , ,No,No,No
428,429,39.69056667,-106.9490583,2197.6,-141.5484924, , , , , ,No,No,No
537,538,39.69207333,-106.9500583,2205.6,-141.4333954, , , , , ,No,No,No
398,399,39.69063667,-106.9490117,2192.9,-141.3414764, , , , , ,No,No,No
483,484,39.69394333,-106.9530767,2203,-141.3319092, , , , , ,No,No,No
705,706,39.69115833,-106.93915,2260.4,-141.3280945, , , , , ,No,No,No
538,539,39.692045,-106.9499967,2202.8,-141.2688141, , , , , ,No,No,No
539,540,39.69206833,-106.949885,2203.2,-141.2418060, , , , , ,No,No,No
429,430,39.69064333,-106.9489933,2198.7,-141.1976166, , , , , ,No,No,No
482,483,39.69395,-106.9531367,2200.6,-141.1776886, , , , , ,No,No,No
448,449,39.69191667,-106.9507583,2199.1,-141.1633301, , , , , ,No,No,No
442,443,39.69164833,-106.9499483,2196.8,-141.1538544, , , , , ,No,No,No
481,482,39.69392333,-106.95323,2198.9,-141.1536713, , , , , ,No,No,No
477,478,39.69371,-106.95342,2197.3,-141.0984650, , , , , ,No,No,No
540,541,39.69202833,-106.9498167,2203.4,-141.0334320, , , , , ,No,No,No
478,479,39.69375333,-106.953385,2197.6,-141.0318451, , , , , ,No,No,No
453,454,39.6921,-106.9515067,2197.3,-141.0223846, , , , , ,No,No,No
479,480,39.693785,-106.9533517,2197.8,-140.9272461, , , , , ,No,No,No
541,542,39.69199167,-106.9498017,2204.4,-140.9110565, , , , , ,No,No,No
542,543,39.691945,-106.9498133,2205.4,-140.8926544, , , , , ,No,No,No
543,544,39.69189667,-106.9497717,2206.3,-140.8356781, , , , , ,No,No,No
441,442,39.69158667,-106.9498133,2198.2,-140.8087311, , , , , ,No,No,No
544,545,39.691835,-106.9497233,2205.6,-140.7656097, , , , , ,No,No,No
480,481,39.69384833,-106.9532833,2198.4,-140.7002258, , , , , ,No,No,No
545,546,39.69178,-106.9496467,2204.9,-140.6739197, , , , , ,No,No,No
397,398,39.69071667,-106.9489333,2193.5,-140.6547394, , , , , ,No,No,No
546,547,39.69174833,-106.9495267,2204.9,-140.5550232, , , , , ,No,No,No
440,441,39.69152,-106.94968,2199.7,-140.5204468, , , , , ,No,No,No
430,431,39.690725,-106.9489117,2202.1,-140.4798126, , , , , ,No,No,No
