lat,lon,rsrp 
39.6463,-107.003,-140
39.646,-107.002,-132
39.6443,-107,-139
39.6429,-106.998,-138
39.6427,-107.018,-140
39.6421,-107.018,-125
39.6416,-107.016,-137
39.6413,-107.031,-135
39.6413,-107.03,-136
39.6413,-107.022,-140
39.6413,-107.018,-139
39.6404,-107.021,-138
39.6399,-107.035,-136
39.6399,-107.024,-133
39.6396,-107.027,-139
39.6393,-107.029,-140
39.6324,-107.033,-96
39.6321,-107.032,-97
39.6318,-107.033,-95
39.6318,-107.032,-95
39.6318,-107.032,-94
39.6316,-107.032,-97
39.6316,-107.032,-96
39.6316,-107.032,-93
39.6313,-107.032,-96
39.631,-107.031,-97
39.631,-107.031,-94
39.6307,-107.031,-93
39.6307,-107.031,-97
39.6307,-107.031,-92
39.6293,-107.048,-98
39.6291,-107.048,-98
39.6291,-107.048,-98
39.6291,-107.016,-88
39.6288,-107.048,-108
39.6288,-107.048,-94
39.6288,-107.047,-98
39.6288,-107.047,-105
39.6288,-107.016,-89
39.6288,-107.01,-94
39.6288,-107.01,-92
39.6288,-107.009,-95
39.6288,-107.009,-92
39.6285,-107.048,-101
39.6285,-107.047,-106
39.6285,-107.047,-98
39.6285,-107.017,-92
39.6285,-107.016,-88
39.6285,-107.01,-92
39.6285,-107.01,-90
39.6285,-107.01,-92
39.6285,-107.009,-92
39.6285,-107.008,-94
39.6282,-107.048,-104
39.6282,-107.048,-103
39.6282,-107.048,-102
39.6282,-107.048,-101
39.6282,-107.047,-100
39.6282,-107.017,-94
39.6282,-107.017,-93
39.6282,-107.016,-92
39.6282,-107.01,-89
39.6282,-107.01,-91
39.6282,-107.01,-90
39.6282,-107.009,-91
39.6282,-107.008,-90
39.6282,-107.008,-94
39.6279,-107.048,-106
39.6279,-107.048,-101
39.6279,-107.047,-100
39.6279,-107.044,-108
39.6279,-107.017,-89
39.6279,-107.017,-89
39.6279,-107.016,-90
39.6279,-107.01,-84
39.6279,-107.01,-85
39.6279,-107.01,-84
39.6279,-107.008,-92
39.6279,-107.007,-92
39.6277,-107.048,-116
39.6277,-107.046,-104
39.6277,-107.044,-107
39.6277,-107.044,-104
39.6277,-107.017,-95
39.6277,-107.016,-89
39.6277,-107.015,-90
39.6277,-107.01,-94
39.6277,-107.01,-95
39.6277,-107.01,-95
39.6277,-107.01,-93
39.6277,-107.009,-84
39.6277,-107.007,-89
39.6277,-107.007,-89
39.6277,-107.007,-89
39.6277,-106.991,-105
39.6274,-107.048,-103
39.6274,-107.048,-106
39.6274,-107.048,-106
39.6274,-107.048,-107
39.6274,-107.043,-95
39.6274,-107.043,-96
39.6274,-107.026,-96
39.6274,-107.017,-94
39.6274,-107.016,-87
39.6274,-107.015,-91
39.6274,-107.009,-89
39.6274,-107.007,-82
39.6274,-107.007,-89
39.6274,-107.006,-92
39.6274,-106.991,-103
39.6274,-106.991,-102
39.6271,-107.048,-104
39.6271,-107.048,-102
39.6271,-107.048,-102
39.6271,-107.048,-102
39.6271,-107.047,-102
39.6271,-107.047,-111
39.6271,-107.047,-111
39.6271,-107.016,-96
39.6271,-107.015,-91
39.6271,-107.008,-87
39.6271,-107.007,-87
39.6271,-107.007,-88
39.6271,-107.006,-93
39.6271,-106.992,-98
39.6271,-106.992,-99
39.6271,-106.992,-101
39.6268,-107.049,-104
39.6268,-107.049,-104
39.6268,-107.048,-104
39.6268,-107.047,-101
39.6268,-107.047,-105
39.6268,-107.046,-120
39.6268,-107.046,-108
39.6268,-107.016,-108
39.6268,-107.016,-96
39.6268,-107.008,-92
39.6268,-107.007,-88
39.6268,-107.002,-96
39.6268,-106.993,-99
39.6268,-106.993,-99
39.6268,-106.992,-100
39.6268,-106.992,-99
39.6268,-106.991,-99
39.6266,-107.049,-112
39.6266,-107.049,-104
39.6266,-107.048,-104
39.6266,-107.048,-104
39.6266,-107.048,-104
39.6266,-107.046,-123
39.6266,-107.046,-100
39.6266,-107.045,-97
39.6266,-107.025,-98
39.6266,-107.016,-92
39.6266,-107.016,-96
39.6266,-107.006,-94
39.6266,-107.005,-91
39.6266,-106.994,-98
39.6266,-106.992,-98
39.6266,-106.992,-100
39.6263,-107.049,-105
39.6263,-107.049,-104
39.6263,-107.048,-103
39.6263,-107.048,-109
39.6263,-107.048,-109
39.6263,-107.048,-110
39.6263,-107.047,-104
39.6263,-107.047,-104
39.6263,-107.045,-97
39.6263,-107.016,-91
39.6263,-107.006,-93
39.6263,-107.006,-96
39.6263,-107.005,-88
39.6263,-107.005,-88
39.6263,-107.004,-89
39.6263,-107.004,-96
39.6263,-107.003,-88
39.6263,-107.003,-92
39.6263,-106.993,-98
39.626,-107.049,-105
39.626,-107.049,-105
39.626,-107.049,-103
39.626,-107.048,-112
39.626,-107.048,-102
39.626,-107.047,-102
39.626,-107.047,-103
39.626,-107.047,-111
39.626,-107.046,-107
39.626,-107.046,-102
39.626,-107.016,-94
39.626,-107.016,-91
39.626,-107.006,-87
39.626,-107.006,-93
